pr1_1,pr1_2,pr1_3,pr1_4,pr1_5,pr1_6,pr1_7,pr1_8,pr1_9,pr1_10,pr1_11,pr1_12,pr1_13,pr1_14,pr1_15,pr1_16,pr1_17,pr1_18,pr1_19,pr1_20,pr1_21,pr1_22,pr1_23,pr1_24,pr1_25,pr1_26,pr1_27,pr1_28,pr1_29,pr1_30,pr1_31,pr1_32,pr1_33,pr1_34,pr1_35,pr1_36,pr1_37,pr1_38,pr1_39,pr1_40,pr1_41,pr1_42,pr1_43,pr1_44,pr1_45,pr1_46,pr1_47,pr1_48,pr1_49,pr1_50,pr1_51,pr1_52,pr1_53,pr1_54,pr1_55,pr1_56,pr1_57,pr1_58,pr1_59,pr1_60,pr1_61,pr1_62,pr1_63,pr1_64,pr1_65,pr1_66,pr1_67,pr1_68,pr1_69,pr1_70,pr1_71,pr1_72,pr1_73,pr1_74,pr1_75,pr1_76,pr1_77,pr1_78,pr1_79,pr1_80,pr1_81,pr1_82,pr1_83,pr1_84,pr1_85,pr1_86,pr1_87,pr1_88,pr1_89,pr1_90,pr1_91,pr1_92,pr1_93,pr1_94,pr1_95,pr1_96,pr1_97,pr1_98,pr1_99,pr1_100,pr1_101,pr1_102,pr1_103,pr1_104,pr1_105,pr1_106,pr1_107,pr1_108,pr1_109,pr1_110,pr1_111,pr1_112,pr1_113,pr1_114,pr1_115,pr1_116,pr1_117,pr1_118,pr1_119,pr1_120,pr1_121,pr1_122,pr1_123,pr1_124,pr1_125,pr1_126,pr1_127,pr1_128,pr1_129,pr1_130,pr1_131,pr1_132,pr1_133,pr1_134,pr1_135,pr1_136,pr1_137,pr1_138,pr1_139,pr1_140,pr1_141,pr1_142,pr1_143,pr1_144,pr1_145,pr1_146,pr1_147,pr1_148,pr1_149,pr1_150,pr1_151,pr1_152,pr1_153,pr1_154,pr1_155,pr1_156,pr1_157,pr1_158
23283274.618,NaN,21354392.44,24377053.912,NaN,22215080.083,NaN,NaN,24989696.312,NaN,NaN,NaN,NaN,21285003.946,NaN,NaN,20669139.386,NaN,21115388.406,NaN,25605877.714,23768004.331,NaN,NaN,NaN,NaN,NaN,20850042.364,NaN,NaN,NaN,NaN,NaN,NaN,21369094.523,20800857.453,23558446.73,NaN,NaN,NaN,21296996.247,22237237.535,NaN,NaN,NaN,NaN,NaN,23316936.5,NaN,21898128.706,20273671.593,22450967.141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27190602.408,NaN,26692945.618,NaN,NaN,NaN,NaN,NaN,NaN,22064224.46,23435399.738,NaN,NaN,NaN,NaN,NaN,NaN,26512135.724,NaN,NaN,NaN,NaN,25804432.556,24785732.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26862007.328,37580851.766,NaN,37447728.35,38049781.527,NaN,NaN,36284703.088,36803061.218,NaN,36172603.307,NaN,NaN,37524788.333,NaN,NaN,NaN,NaN,NaN,22453947.826,24061814.184,NaN,25587183.063,NaN,NaN,NaN,24530965.015,NaN,NaN,22924104.534,NaN,NaN,NaN,NaN,NaN,22155630.562,NaN,NaN,36644514.799,NaN,35854549.769,NaN,NaN,NaN,25169965.257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43083096.369,26526491.467,NaN,37438772.097,38854613.606,NaN,NaN,NaN
23283834.63,NaN,21354721.406,24376611.755,NaN,22214720.641,NaN,NaN,24989149.102,NaN,NaN,NaN,NaN,21285458.059,NaN,NaN,20668985.454,NaN,21114996.375,NaN,25606333.706,23768591.52,NaN,NaN,NaN,NaN,NaN,20850198.214,NaN,NaN,NaN,NaN,NaN,NaN,21369298.882,20800359.445,23557622.626,NaN,NaN,NaN,21297399.206,22237028.23,NaN,NaN,NaN,NaN,NaN,23317700.654,NaN,21898492.266,20273682.509,22450553.048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27190226.438,NaN,26692478.144,NaN,NaN,NaN,NaN,NaN,NaN,22064158.826,23435675.293,NaN,NaN,NaN,NaN,NaN,NaN,26512056.022,NaN,NaN,NaN,NaN,25804956.352,24785805.553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26861679.777,37580851.679,NaN,37447721.098,38049781.776,NaN,NaN,36284878.131,36803071.316,NaN,36172671.959,NaN,NaN,37524742.785,NaN,NaN,NaN,NaN,NaN,22453624.08,24062046.437,NaN,25586532.863,NaN,NaN,NaN,24531301.784,NaN,NaN,22924370.793,NaN,NaN,NaN,NaN,NaN,22155477.915,NaN,NaN,36644489.786,NaN,35854644.192,NaN,NaN,NaN,25169520.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43083282.201,26526158.785,NaN,37438773.222,38854612.06,NaN,NaN,NaN
23284394.608,NaN,21355050.465,24376169.623,NaN,22214361.24,NaN,NaN,24988601.705,NaN,NaN,NaN,NaN,21285912.251,NaN,NaN,20668831.559,NaN,21114604.372,NaN,25606789.666,23769178.737,NaN,NaN,NaN,NaN,NaN,20850354.165,NaN,NaN,NaN,NaN,NaN,NaN,21369503.388,20799861.539,23556798.489,NaN,NaN,NaN,21297802.265,22236819.061,NaN,NaN,NaN,NaN,NaN,23318464.809,NaN,21898855.836,20273693.421,22450138.901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27189850.56,NaN,26692010.675,NaN,NaN,NaN,NaN,NaN,NaN,22064093.192,23435950.837,NaN,NaN,NaN,NaN,NaN,NaN,26511976.389,NaN,NaN,NaN,NaN,25805480.166,24785879.108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26861352.22,37580851.573,NaN,37447713.834,38049782.012,NaN,NaN,36285053.185,36803081.397,NaN,36172740.617,NaN,NaN,37524697.23,NaN,NaN,NaN,NaN,NaN,22453300.415,24062278.769,NaN,25585882.646,NaN,NaN,NaN,24531638.597,NaN,NaN,22924637.067,NaN,NaN,NaN,NaN,NaN,22155325.28,NaN,NaN,36644464.765,NaN,35854738.632,NaN,NaN,NaN,25169074.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43083468.045,26525826.098,NaN,37438774.327,38854610.505,NaN,NaN,NaN
23284954.613,NaN,21355379.65,24375727.535,NaN,22214001.9,NaN,NaN,24988054.339,NaN,NaN,NaN,NaN,21286366.566,NaN,NaN,20668677.731,NaN,21114212.433,NaN,25607245.611,23769766.016,NaN,NaN,NaN,NaN,NaN,20850510.246,NaN,NaN,NaN,NaN,NaN,NaN,21369708.071,20799363.763,23555974.372,NaN,NaN,NaN,21298205.47,22236610.06,NaN,NaN,NaN,NaN,NaN,23319228.988,NaN,21899219.457,20273704.43,22449724.791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27189474.721,NaN,26691543.254,NaN,NaN,NaN,NaN,NaN,NaN,22064027.598,23436226.411,NaN,NaN,NaN,NaN,NaN,NaN,26511896.861,NaN,NaN,NaN,NaN,25806004.043,24785952.776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26861024.7,37580851.493,NaN,37447706.589,38049782.263,NaN,NaN,36285228.289,36803091.51,NaN,36172809.322,NaN,NaN,37524651.706,NaN,NaN,NaN,NaN,NaN,22452976.852,24062511.231,NaN,25585232.461,NaN,NaN,NaN,24531975.493,NaN,NaN,22924903.402,NaN,NaN,NaN,NaN,NaN,22155172.7,NaN,NaN,36644439.774,NaN,35854833.123,NaN,NaN,NaN,25168629.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43083653.948,26525493.452,NaN,37438775.448,38854608.969,NaN,NaN,NaN
23285514.597,NaN,21355708.931,24375285.471,NaN,22213642.583,NaN,NaN,24987507.007,NaN,NaN,NaN,NaN,21286820.935,NaN,NaN,20668523.925,NaN,21113820.512,NaN,25607701.549,23770353.333,NaN,NaN,NaN,NaN,NaN,20850666.417,NaN,NaN,NaN,NaN,NaN,NaN,21369912.884,20798866.076,23555150.214,NaN,NaN,NaN,21298608.775,22236401.197,NaN,NaN,NaN,NaN,NaN,23319993.163,NaN,21899583.073,20273715.408,22449310.673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27189098.899,NaN,26691075.835,NaN,NaN,NaN,NaN,NaN,NaN,22063962.001,23436501.96,NaN,NaN,NaN,NaN,NaN,NaN,26511817.387,NaN,NaN,NaN,NaN,25806527.926,24786026.509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26860697.163,37580851.384,NaN,37447699.312,38049782.498,NaN,NaN,36285403.396,36803101.604,NaN,36172878.041,NaN,NaN,37524606.17,NaN,NaN,NaN,NaN,NaN,22452653.36,24062743.768,NaN,25584582.26,NaN,NaN,NaN,24532312.431,NaN,NaN,22925169.742,NaN,NaN,NaN,NaN,NaN,22155020.125,NaN,NaN,36644414.769,NaN,35854927.624,NaN,NaN,NaN,25168184.314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43083839.847,26525160.796,NaN,37438776.551,38854607.403,NaN,NaN,NaN
23286074.621,NaN,21356038.333,24374843.441,NaN,22213283.333,NaN,NaN,24986959.704,NaN,NaN,NaN,NaN,21287275.42,NaN,NaN,20668370.2,NaN,21113428.659,NaN,25608157.465,23770940.702,NaN,NaN,NaN,NaN,NaN,20850822.714,NaN,NaN,NaN,NaN,NaN,NaN,21370117.873,20798368.542,23554326.061,NaN,NaN,NaN,21299012.235,22236192.519,NaN,NaN,NaN,NaN,NaN,23320757.329,NaN,21899946.72,20273726.449,22448896.582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27188723.2,NaN,26690608.458,NaN,NaN,NaN,NaN,NaN,NaN,22063896.453,23436777.533,NaN,NaN,NaN,NaN,NaN,NaN,26511738.019,NaN,NaN,NaN,NaN,25807051.865,24786100.353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26860369.661,37580851.294,NaN,37447692.062,38049782.745,NaN,NaN,36285578.554,36803111.725,NaN,36172946.799,NaN,NaN,37524560.671,NaN,NaN,NaN,NaN,NaN,22452329.977,24062976.414,NaN,25583932.083,NaN,NaN,NaN,24532649.457,NaN,NaN,22925436.136,NaN,NaN,NaN,NaN,NaN,22154867.604,NaN,NaN,36644389.792,NaN,35855022.174,NaN,NaN,NaN,25167739.083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43084025.799,26524828.171,NaN,37438777.665,38854605.862,NaN,NaN,NaN
23286634.632,NaN,21356367.863,24374401.472,NaN,22212924.147,NaN,NaN,24986412.348,NaN,NaN,NaN,NaN,21287730.022,NaN,NaN,20668216.547,NaN,21113036.875,NaN,25608613.37,23771528.147,NaN,NaN,NaN,NaN,NaN,20850979.135,NaN,NaN,NaN,NaN,NaN,NaN,21370323.048,20797871.144,23553501.945,NaN,NaN,NaN,21299415.838,22235984.009,NaN,NaN,NaN,NaN,NaN,23321521.523,NaN,21900310.412,20273737.518,22448482.518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27188347.599,NaN,26690141.127,NaN,NaN,NaN,NaN,NaN,NaN,22063830.935,23437053.13,NaN,NaN,NaN,NaN,NaN,NaN,26511658.757,NaN,NaN,NaN,NaN,25807575.862,24786174.305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26860042.184,37580851.22,NaN,37447684.826,38049783.009,NaN,NaN,36285753.75,36803121.875,NaN,36173015.61,NaN,NaN,37524515.199,NaN,NaN,NaN,NaN,NaN,22452006.696,24063209.178,NaN,25583281.935,NaN,NaN,NaN,24532986.556,NaN,NaN,22925702.585,NaN,NaN,NaN,NaN,NaN,22154715.129,NaN,NaN,36644364.846,NaN,35855116.776,NaN,NaN,NaN,25167293.865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43084211.796,26524495.586,NaN,37438778.791,38854604.328,NaN,NaN,NaN
23287194.65,NaN,21356697.502,24373959.542,NaN,22212564.989,NaN,NaN,24985864.932,NaN,NaN,NaN,NaN,21288184.702,NaN,NaN,20668062.936,NaN,21112645.123,NaN,25609069.247,23772115.628,NaN,NaN,NaN,NaN,NaN,20851135.666,NaN,NaN,NaN,NaN,NaN,NaN,21370528.384,20797373.855,23552677.818,NaN,NaN,NaN,21299819.558,22235775.647,NaN,NaN,NaN,NaN,NaN,23322285.69,NaN,21900674.128,20273748.633,22448068.474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27187972.003,NaN,26689673.81,NaN,NaN,NaN,NaN,NaN,NaN,22063765.435,23437328.731,NaN,NaN,NaN,NaN,NaN,NaN,26511579.564,NaN,NaN,NaN,NaN,25808099.886,24786248.339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26859714.719,37580851.146,NaN,37447677.582,38049783.274,NaN,NaN,36285928.974,36803132.031,NaN,36173084.441,NaN,NaN,37524469.728,NaN,NaN,NaN,NaN,NaN,22451683.5,24063442.036,NaN,25582631.779,NaN,NaN,NaN,24533323.705,NaN,NaN,22925969.054,NaN,NaN,NaN,NaN,NaN,22154562.683,NaN,NaN,36644339.902,NaN,35855211.407,NaN,NaN,NaN,25166848.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43084397.816,26524163.01,NaN,37438779.912,38854602.791,NaN,NaN,NaN
23287754.715,NaN,21357027.27,24373517.669,NaN,22212205.914,NaN,NaN,24985317.585,NaN,NaN,NaN,NaN,21288639.497,NaN,NaN,20667909.408,NaN,21112253.441,NaN,25609525.159,23772703.172,NaN,NaN,NaN,NaN,NaN,20851292.333,NaN,NaN,NaN,NaN,NaN,NaN,21370733.891,20796876.718,23551853.703,NaN,NaN,NaN,21300223.439,22235567.479,NaN,NaN,NaN,NaN,NaN,23323049.917,NaN,21901037.882,20273759.792,22447654.488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27187596.561,NaN,26689206.55,NaN,NaN,NaN,NaN,NaN,NaN,22063699.98,23437604.363,NaN,NaN,NaN,NaN,NaN,NaN,26511500.485,NaN,NaN,NaN,NaN,25808623.976,24786322.493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26859387.293,37580851.089,NaN,37447670.37,38049783.567,NaN,NaN,36286104.25,36803142.234,NaN,36173153.324,NaN,NaN,37524424.301,NaN,NaN,NaN,NaN,NaN,22451360.426,24063675.013,NaN,25581981.665,NaN,NaN,NaN,24533660.951,NaN,NaN,22926235.592,NaN,NaN,NaN,NaN,NaN,22154410.291,NaN,NaN,36644314.998,NaN,35855306.088,NaN,NaN,NaN,25166403.444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43084583.899,26523830.471,NaN,37438781.064,38854601.283,NaN,NaN,NaN
23288314.744,NaN,21357357.13,24373075.801,NaN,22211846.859,NaN,NaN,24984770.124,NaN,NaN,NaN,NaN,21289094.375,NaN,NaN,20667755.905,NaN,21111861.79,NaN,25609981.04,23773290.744,NaN,NaN,NaN,NaN,NaN,20851449.094,NaN,NaN,NaN,NaN,NaN,NaN,21370939.545,20796379.68,23551029.572,NaN,NaN,NaN,21300627.431,22235359.435,NaN,NaN,NaN,NaN,NaN,23323814.109,NaN,21901401.645,20273771.027,22447240.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27187221.182,NaN,26688739.296,NaN,NaN,NaN,NaN,NaN,NaN,22063634.531,23437879.982,NaN,NaN,NaN,NaN,NaN,NaN,26511421.473,NaN,NaN,NaN,NaN,25809148.084,24786396.721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26859059.866,37580851.014,NaN,37447663.14,38049783.838,NaN,NaN,36286279.53,36803152.403,NaN,36173222.216,NaN,NaN,37524378.855,NaN,NaN,NaN,NaN,NaN,22451037.419,24063908.071,NaN,25581331.536,NaN,NaN,NaN,24533998.245,NaN,NaN,22926502.143,NaN,NaN,NaN,NaN,NaN,22154257.915,NaN,NaN,36644290.091,NaN,35855400.788,NaN,NaN,NaN,25165958.231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43084769.991,26523497.927,NaN,37438782.194,38854599.756,NaN,NaN,NaN
23288874.771,NaN,21357687.09,24372633.99,NaN,22211487.842,NaN,NaN,24984222.712,NaN,NaN,NaN,NaN,21289549.337,NaN,NaN,20667602.452,NaN,21111470.175,NaN,25610436.889,23773878.353,NaN,NaN,NaN,NaN,NaN,20851605.948,NaN,NaN,NaN,NaN,NaN,NaN,21371145.354,20795882.765,23550205.429,NaN,NaN,NaN,21301031.541,22235151.531,NaN,NaN,NaN,NaN,NaN,23324578.32,NaN,21901765.408,20273782.247,22446826.427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27186845.749,NaN,26688272.052,NaN,NaN,NaN,NaN,NaN,NaN,22063569.094,23438155.595,NaN,NaN,NaN,NaN,NaN,NaN,26511342.526,NaN,NaN,NaN,NaN,25809672.221,24786471.026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26858732.439,37580850.932,NaN,37447655.893,38049784.095,NaN,NaN,36286454.83,36803162.581,NaN,36173291.131,NaN,NaN,37524333.43,NaN,NaN,NaN,NaN,NaN,22450714.492,24064141.226,NaN,25580681.4,NaN,NaN,NaN,24534335.599,NaN,NaN,22926768.715,NaN,NaN,NaN,NaN,NaN,22154105.558,NaN,NaN,36644265.184,NaN,35855495.506,NaN,NaN,NaN,25165513.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43084956.105,26523165.391,NaN,37438783.312,38854598.229,NaN,NaN,NaN
23289434.802,NaN,21358017.162,24372192.19,NaN,22211128.878,NaN,NaN,24983675.335,NaN,NaN,NaN,NaN,21290004.404,NaN,NaN,20667449.049,NaN,21111078.617,NaN,25610892.76,23774466.026,NaN,NaN,NaN,NaN,NaN,20851762.931,NaN,NaN,NaN,NaN,NaN,NaN,21371351.326,20795385.972,23549381.279,NaN,NaN,NaN,21301435.785,22234943.8,NaN,NaN,NaN,NaN,NaN,23325342.539,NaN,21902129.204,20273793.457,22446412.395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27186470.389,NaN,26687804.842,NaN,NaN,NaN,NaN,NaN,NaN,22063503.681,23438431.218,NaN,NaN,NaN,NaN,NaN,NaN,26511263.671,NaN,NaN,NaN,NaN,25810196.395,24786545.428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26858405.034,37580850.856,NaN,37447648.659,38049784.367,NaN,NaN,36286630.159,36803172.775,NaN,36173360.084,NaN,NaN,37524288.02,NaN,NaN,NaN,NaN,NaN,22450391.653,24064374.485,NaN,25580031.278,NaN,NaN,NaN,24534673.014,NaN,NaN,22927035.331,NaN,NaN,NaN,NaN,NaN,22153953.239,NaN,NaN,36644240.29,NaN,35855590.275,NaN,NaN,NaN,25165067.774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43085142.252,26522832.869,NaN,37438784.438,38854596.697,NaN,NaN,NaN
23289994.863,NaN,21358347.369,24371750.467,NaN,22210769.989,NaN,NaN,24983127.83,NaN,NaN,NaN,NaN,21290459.579,NaN,NaN,20667295.722,NaN,21110687.113,NaN,25611348.615,23775053.762,NaN,NaN,NaN,NaN,NaN,20851920.033,NaN,NaN,NaN,NaN,NaN,NaN,21371557.489,20794889.316,23548557.143,NaN,NaN,NaN,21301840.183,22234736.238,NaN,NaN,NaN,NaN,NaN,23326106.779,NaN,21902493.035,20273804.758,22445998.381,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27186095.129,NaN,26687337.675,NaN,NaN,NaN,NaN,NaN,NaN,22063438.303,23438706.871,NaN,NaN,NaN,NaN,NaN,NaN,26511184.916,NaN,NaN,NaN,NaN,25810720.632,24786619.945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26858077.661,37580850.802,NaN,37447641.44,38049784.65,NaN,NaN,36286805.536,36803182.996,NaN,36173429.081,NaN,NaN,37524242.642,NaN,NaN,NaN,NaN,NaN,22450068.934,24064607.866,NaN,25579381.189,NaN,NaN,NaN,24535010.509,NaN,NaN,22927302,NaN,NaN,NaN,NaN,NaN,22153800.972,NaN,NaN,36644215.435,NaN,35855685.088,NaN,NaN,NaN,25164622.569,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43085328.447,26522500.392,NaN,37438785.585,38854595.18,NaN,NaN,NaN
23290554.929,NaN,21358677.672,24371308.752,NaN,22210411.143,NaN,NaN,24982580.455,NaN,NaN,NaN,NaN,21290914.842,NaN,NaN,20667142.441,NaN,21110295.645,NaN,25611804.434,23775641.535,NaN,NaN,NaN,NaN,NaN,20852077.245,NaN,NaN,NaN,NaN,NaN,NaN,21371763.795,20794392.783,23547732.996,NaN,NaN,NaN,21302244.709,22234528.838,NaN,NaN,NaN,NaN,NaN,23326871.028,NaN,21902856.898,20273816.085,22445584.389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27185719.927,NaN,26686870.527,NaN,NaN,NaN,NaN,NaN,NaN,22063372.944,23438982.513,NaN,NaN,NaN,NaN,NaN,NaN,26511106.246,NaN,NaN,NaN,NaN,25811244.896,24786694.542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26857750.298,37580850.73,NaN,37447634.207,38049784.933,NaN,NaN,36286980.933,36803193.226,NaN,36173498.105,NaN,NaN,37524197.277,NaN,NaN,NaN,NaN,NaN,22449746.299,24064841.345,NaN,25578731.09,NaN,NaN,NaN,24535348.074,NaN,NaN,22927568.691,NaN,NaN,NaN,NaN,NaN,22153648.729,NaN,NaN,36644190.578,NaN,35855779.936,NaN,NaN,NaN,25164177.352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43085514.673,26522167.921,NaN,37438786.722,38854593.668,NaN,NaN,NaN
23291115.022,NaN,21359008.103,24370867.095,NaN,22210052.352,NaN,NaN,24982033.023,NaN,NaN,NaN,NaN,21291370.21,NaN,NaN,20666989.228,NaN,21109904.252,NaN,25612260.258,23776229.369,NaN,NaN,NaN,NaN,NaN,20852234.585,NaN,NaN,NaN,NaN,NaN,NaN,21371970.284,20793896.379,23546908.851,NaN,NaN,NaN,21302649.378,22234321.603,NaN,NaN,NaN,NaN,NaN,23327635.308,NaN,21903220.787,20273827.473,22445170.447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26686403.425,NaN,NaN,NaN,NaN,NaN,NaN,22063307.63,23439258.187,NaN,NaN,NaN,NaN,NaN,NaN,26511027.671,NaN,NaN,NaN,NaN,25811769.215,24786769.248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26857422.963,37580850.677,NaN,37447626.99,38049785.219,NaN,NaN,36287156.375,36803203.475,NaN,36173567.174,NaN,NaN,37524151.936,NaN,NaN,NaN,NaN,NaN,22449423.768,24065074.93,NaN,25578081.02,NaN,NaN,NaN,24535685.71,NaN,NaN,22927835.442,NaN,NaN,NaN,NaN,NaN,22153496.541,NaN,NaN,36644165.748,NaN,35855874.825,NaN,NaN,NaN,25163732.151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43085700.945,26521835.488,NaN,37438787.878,38854592.167,NaN,NaN,NaN
23291675.109,NaN,21359338.652,24370425.486,NaN,22209693.616,NaN,NaN,24981485.594,NaN,NaN,NaN,NaN,21291825.674,NaN,NaN,20666836.073,NaN,21109512.913,NaN,25612716.055,23776817.261,NaN,NaN,NaN,NaN,NaN,20852392.04,NaN,NaN,NaN,NaN,NaN,NaN,21372176.926,20793400.117,23546084.717,NaN,NaN,NaN,21303054.169,22234114.513,NaN,NaN,NaN,NaN,NaN,23328399.583,NaN,21903584.71,20273838.896,22444756.528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27184969.812,NaN,26685936.348,NaN,NaN,NaN,NaN,NaN,NaN,22063242.344,23439533.874,NaN,NaN,NaN,NaN,NaN,NaN,26510949.186,NaN,NaN,NaN,NaN,25812293.578,24786844.053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26857095.647,37580850.636,NaN,37447619.785,38049785.529,NaN,NaN,36287331.851,36803213.746,NaN,36173636.27,NaN,NaN,37524106.621,NaN,NaN,NaN,NaN,NaN,22449101.336,24065308.623,NaN,25577430.963,NaN,NaN,NaN,24536023.419,NaN,NaN,22928102.233,NaN,NaN,NaN,NaN,NaN,22153344.391,NaN,NaN,36644140.939,NaN,35855969.762,NaN,NaN,NaN,25163286.959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43085887.254,26521503.068,NaN,37438789.04,38854590.687,NaN,NaN,NaN
23292235.219,NaN,21359669.326,24369983.954,NaN,22209334.951,NaN,NaN,24980938.053,NaN,NaN,NaN,NaN,21292281.258,NaN,NaN,20666682.988,NaN,21109121.626,NaN,25613171.884,23777405.208,NaN,NaN,NaN,NaN,NaN,20852549.622,NaN,NaN,NaN,NaN,NaN,NaN,21372383.737,20792903.972,23545260.602,NaN,NaN,NaN,21303459.109,22233907.591,NaN,NaN,NaN,NaN,NaN,23329163.873,NaN,21903948.662,20273850.364,22444342.607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27184594.808,NaN,26685469.308,NaN,NaN,NaN,NaN,NaN,NaN,22063177.086,23439809.577,NaN,NaN,NaN,NaN,NaN,NaN,26510870.795,NaN,NaN,NaN,NaN,25812817.992,24786918.963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26856768.358,37580850.603,NaN,37447612.595,38049785.852,NaN,NaN,36287507.362,36803224.034,NaN,36173705.413,NaN,NaN,37524061.327,NaN,NaN,NaN,NaN,NaN,22448779.008,24065542.42,NaN,25576780.931,NaN,NaN,NaN,24536361.202,NaN,NaN,22928369.07,NaN,NaN,NaN,NaN,NaN,22153192.284,NaN,NaN,36644116.158,NaN,35856064.744,NaN,NaN,NaN,25162841.777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43086073.6,26521170.685,NaN,37438790.21,38854589.211,NaN,NaN,NaN
